Actie;Actie omschrijving;Beleidsitem;Beleidsitem omschrijving;Ontvangst/uitgave;Algemene rekening;Algemene rekening omschrijving;Investeringsenveloppe;Krediet 2016;Rekening 2015;Vorderingstaten 2016 tot nu;Nog te innen;Verschil 2016 - (2015);Verschil % 2016-2015;;Bijkomend BW 1-2016;Krediet na BW 1-2016;Opmerkingen;invloed MJP
GBB-CBS;Gelijkblijvend beleid CBS;0020-00;Fiscale aangelegenheden;O;7301000;Aanvullende belasting op de personenbelasting;IE-GEEN; € 4.106.514,38 ; € 4.452.551,50 ; € 2.876.494,33 ; € 1.230.020,05 ;-1576057,17;-35,40 %;; € -15.104,63 ; € 4.091.409,75 ;impact taxshift 2016;idem
GBB-CBS;Gelijkblijvend beleid CBS;0020-00;Fiscale aangelegenheden;O;7302000;Motorrijtuigen;IE-GEEN; € 137.286,24 ; € 138.941,64 ; € 69.147,46 ; € 68.138,78 ;-69794,18;-50,23 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0020-00;Fiscale aangelegenheden;O;7315000;Afgifte identiteitsbewijzen/paspoorten/trouwboekjes/uittreksels;IE-GEEN; € 95.000,00 ; € 104.127,80 ; € 66.448,99 ; € 28.551,01 ;-37678,81;-36,19 %;; € 10.000,00 ; € 105.000,00 ;meer uitgaven dus ook meer inkomsten;107,2
GBB-CBS;Gelijkblijvend beleid CBS;0020-00;Fiscale aangelegenheden;O;7316000;Aanvragen stedenbouwkundige vergunningen;IE-GEEN; € 11.000,00 ; € 53.195,21 ; € 31.320,21 ; € -20.320,21 ;-21875;-41,12 %;;;;te corrigeren!!!;
GBB-CBS;Gelijkblijvend beleid CBS;0020-00;Fiscale aangelegenheden;O;7317000;Aanvragen/meldingen hinderlijke inrichtingen;IE-GEEN; € 250,00 ; € 1.810,00 ; € 190,00 ; € 60,00 ;-1620;-89,50 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0020-00;Fiscale aangelegenheden;O;7319999;Andere belastingen op prestaties;IE-GEEN; € 1.500,00 ; € 1.100,00 ; € -   ; € 1.500,00 ;-1100;-100,00 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0020-00;Fiscale aangelegenheden;O;7330100;Op rioolnet aangesloten en aansluitbare gebouwen;IE-GEEN; € 24.000,00 ; € 8.050,00 ; € -700,00 ; € 24.700,00 ;-8750;-108,70 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0020-00;Fiscale aangelegenheden;O;7330200;Op waterleidingsnet aangesloten en aansluitbare gebouwen;IE-GEEN; € 420.729,29 ; € 469.159,89 ; € 251.717,85 ; € 169.011,44 ;-217442,04;-46,35 %;; € 50.000,00 ; € 470.729,29 ;afvoerbijdrage - zie ook rekening 2015;idem?
GBB-CBS;Gelijkblijvend beleid CBS;0020-00;Fiscale aangelegenheden;O;7331100;Begraving / bijzetting / verstrooiing;IE-GEEN; € 125,00 ; € 375,00 ; € 125,00 ; € -   ;-250;-66,67 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0020-00;Fiscale aangelegenheden;O;7332200;Diftar/ophaalronde;IE-GEEN; € 295.000,00 ; € 309.992,89 ; € 189.255,81 ; € 105.744,19 ;-120737,08;-38,95 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0020-00;Fiscale aangelegenheden;O;7332300;Afgifte zakken, klevers, recipiÃ«nten;IE-GEEN; € 59.000,00 ; € 55.633,00 ; € 35.310,50 ; € 23.689,50 ;-20322,5;-36,53 %;; € 9.000,00 ; € 68.000,00 ;roze zakken;idem
GBB-CBS;Gelijkblijvend beleid CBS;0020-00;Fiscale aangelegenheden;O;7332700;Bedrijfsvuil / nijverheidsvuil;IE-GEEN; € 3.000,00 ; € 4.036,00 ; € -   ; € 3.000,00 ;-4036;-100,00 %;; € 1.000,00 ; € 4.000,00 ;vaststelling rekening 2015;idem
GBB-CBS;Gelijkblijvend beleid CBS;0020-00;Fiscale aangelegenheden;O;7332800;Sluikstorten;IE-GEEN; € -   ; € -   ; € -   ; € -   ;0;-;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0020-00;Fiscale aangelegenheden;O;7340300;Groeven: zand, kiezel, klei;IE-GEEN; € 1.000,00 ; € 1.550,00 ; € 1.112,50 ; € -112,50 ;-437,5;-28,23 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0020-00;Fiscale aangelegenheden;O;7341500;Diensten verhuur voertuigen met bestuurder;IE-GEEN; € 339,21 ; € 327,96 ; € 998,58 ; € -659,37 ;670,62;204,48 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0020-00;Fiscale aangelegenheden;O;7341700;Stapelplaatsen voor schroot / oude achtergelaten voertuigen/ materialen;IE-GEEN; € 1.300,00 ; € -   ; € 701,65 ; € 598,35 ;701,65;-;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0020-00;Fiscale aangelegenheden;O;7342200;Reclameborden;IE-GEEN; € 9.000,00 ; € -   ; € 8.450,00 ; € 550,00 ;8450;-;; € -1.300,00 ; € 7.700,00 ;svz 2016 (+ faillissement…);idem
GBB-CBS;Gelijkblijvend beleid CBS;0020-00;Fiscale aangelegenheden;O;7342400;Verspreiding kosteloos reclamedrukwerk;IE-GEEN; € 85.000,00 ; € 88.316,19 ; € 97.594,10 ; € -12.594,10 ;9277,91;10,51 %;; € 10.000,00 ; € 95.000,00 ;svz 2016;idem
GBB-CBS;Gelijkblijvend beleid CBS;0020-00;Fiscale aangelegenheden;O;7374000;Leegstaande woningen en gebouwen;IE-GEEN; € 35.000,00 ; € 33.750,00 ; € 42.500,00 ; € -7.500,00 ;8750;25,93 %;; € 7.500,00 ; € 42.500,00 ;svz 2016;
GBB-CBS;Gelijkblijvend beleid CBS;0020-00;Fiscale aangelegenheden;O;7377000;Tweede verblijven;IE-GEEN; € 15.000,00 ; € -   ; € 18.000,00 ; € -3.000,00 ;18000;-;; € 3.000,00 ; € 18.000,00 ;svz 2016;
GBB-CBS;Gelijkblijvend beleid CBS;0030-00;Financiële aangelegenheden;O;2810000;Belang. in intergem. samenwerk. en soortg. ent. - AW;IE7; € -   ; € 75,00 ; € -   ; € -   ;-75;-100,00 %;;;;;
