Code;Actie;Actie oms.;Beleidsitem code;Ontvangst/Uitgave;Algemene rekening;Algemene rekening oms.;Investeringsenveloppe;Eerste omschrijving;Verantwoordelijke/dienst;2014;2015;2016;2017;2018;2019;;totaal per project;;Opmerkingen Liesbeth;;;;;;;;;;
BP2014_2019-2T/3.3.1.4/0610-00/2140000/BESTUUR/CBS/IE6/U;3.3.1.4;Opmaken en uitvoeren van RUP voor zonevreemde gebouwen en constructies;0610-00;U;2140000;Plannen en studies;IE6;RUP zonevreemde gebouwen;Ludo;;Û 0,00;Û 30 000,00;;;;;30 000,00;;;;;;;;;;;;
BP2014_2019-2T/3.3.1.5/0610-00/2140000/BESTUUR/CBS/IE6/U;3.3.1.5;Opmaken en uitvoeren van RUP kerkhoven/containerparken/scholen;0610-00;U;2140000;Plannen en studies;IE6;RUP CP;Ludo;Û 0,00;Û 0,00;Û 15 000,00;;;;;15 000,00;;;;;;;;;;;;
BP2014_2019-2T/3.3.1.6/0610-00/2140000/BESTUUR/CBS/IE6/U;3.3.1.6;Opmaken en uitvoeren van RUP voetbalterreinen Bierbeek/Lovenjoel;0610-00;U;2140000;Plannen en studies;IE6;RUP voetbal Lovenjoel en Bierbeek;Ludo;Û 0,00;Û 0,00;Û 45 000,00;;;;;45 000,00;;;;;;;;;;;;
BP2014_2019-2T/3.3.1.7/0530-00/2240007/BESTUUR/CBS/IE6/U;3.3.1.7;Participeren in de ruilverkaveling Willebringen;0530-00;U;2240007;Wegen - Activa in aanbouw;IE6;Deelname Ruilverkaveling Willebringen;Jan;Û 0,00;Û 51 408,00;Û 51 408,00;Û 85 680,00;Û 85 680,00;Û 85 680,00;;359 856,00;;;;;;;;;;;;
BP2014_2019-2T/3.3.1.8/0680-00/2140007/BESTUUR/CBS/IE6/U;3.3.1.8;Inrichten en aanleggen van het binnengebied in Opvelp;0680-00;U;2140007;Plannen en studies - Activa in aanbouw;IE6;ontwerp BPA De Velp.;Jan;Û 0,00;Û 5 954,17;;;;;;5 954,17;;;;;;;;;;;;
BP2014_2019-2T/3.3.1.8/0680-00/2200400/BESTUUR/CBS/IE6/U;3.3.1.8;Inrichten en aanleggen van het binnengebied in Opvelp;0680-00;U;2200400;Onbebouwde terreinen - parken & tuinen - gemeenschapsgoederen;IE6;Uitvoering binnengebied Opvelp;Jan;Û 82 187,92;Û 29 388,60;Û 100 000,00;;;;;211 576,52;;;;;;;;;;;;
BP2014_2019-2T/3.3.1.9/0119-00/2240007/BESTUUR/CBS/IE6/U;3.3.1.9;Herinrichten van de bovenparking van de Borre;0119-00;U;2240007;Wegen - Activa in aanbouw;IE6;Wegen - Activa in aanbouw;Bruno/Jan;;;Û 100 000,00;;;;;100 000,00;;;;;;;;;;;;
BP2014_2019-2T/3.3.1.9/0200-00/2240007/BESTUUR/CBS/IE6/U;3.3.1.9;Herinrichten van de bovenparking van de Borre;0200-00;U;2140000;Plannen en studies;IE6;herinrichting bovenparking (studiekosten );Bruno/Jan;Û 0,00;Û 10 000,00;;;;;;10 000,00;;;;;;;;;;;;
BP2014_2019-2T/3.3.2.5/0340-00/6640000/BESTUUR/CBS/IE6/U;3.3.2.5;Verwerven van gronden in het kader van natuurbehoud;0340-00;U;6640000;Toegestane investeringssubsidies;IE6;Overdracht krediet van 2014 naar 2015;Vicky;Û 0,00;Û 0,00;Û 5 000,00;;Û 5 000,00;;;10 000,00;;;;;;;;;;;;
BP2014_2019-2T/3.3.2.7/0329-00/2300000/BESTUUR/CBS/IE6/U;3.3.2.7;Optimaliseren van het handhavingsbeleid en de klachtenbehandeling inzake leefmilieu;0329-00;U;2300000;Installaties, machines en uitrusting - gemeenschapsgoederen;IE6;aankoop meettoestellen geluidsnormen;Vicky;Û 0,00;Û 5 000,00;;;;;;5 000,00;;;;;;;;;;;;
