Code;Actie;Actie oms.;Beleidsitem code;Ontvangst/uitgave;Algemene rekening;Algemene rekening oms.;Investeringsenveloppe;Eerste omschrijving;2014;2015;2016;2017;2018;2019;;totaal per project;;;
BP2014_2019-2T/5.1.3.4/0800-02/1500000/BESTUUR/CBS/IE6/O;5.1.3.4;Verfraaien en renoveren van de schoolgebouwen;0800-02;O;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE6;subsidies centrale school: daken, stookplaats, gebouw; 0,00; 490 000,00;;;;;;  490 000,00 ;;;

BP2014_2019-2T/GBB-CBS/0290-00/1500000/BESTUUR/CBS/IE6/O;GBB-CBS;Gelijkblijvend beleid CBS;0290-00;O;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE6;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn; 11 250,00; 17 879,00;;;;;;  29 129,00 ;;;

BP2014_2019-2T/GBB-CBS/0720-00/1500000/BESTUUR/CBS/IE6/O;GBB-CBS;Gelijkblijvend beleid CBS;0720-00;O;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE6;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;; 5 600,00;;;;;;  5 600,00 ;;;

BP2014_2019-2T/GBB-CBS/0909-00/1500000/BESTUUR/CBS/IE6/O;GBB-CBS;Gelijkblijvend beleid CBS;0909-00;O;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE6;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;; 0,00;;;;;;  -   ;;;

BP2014_2019-2T/GBB-CBS/0640-00/2810000/BESTUUR/CBS/IE6/O;GBB-CBS;Gelijkblijvend beleid CBS;0640-00;O;2810000;Belang. in intergem. samenwerk. en soortg. ent. - AW;IE6;Aandelen Electrabel;; 1 026 518,36;;;;;;  1 026 518,36 ;;;

BP2014_2019-2T/GBB-CBS/0650-00/2810000/BESTUUR/CBS/IE6/O;GBB-CBS;Gelijkblijvend beleid CBS;0650-00;O;2810000;Belang. in intergem. samenwerk. en soortg. ent. - AW;IE6;Aandelen Electrabel;; 275 222,24;;;;;;  275 222,24 ;;;

