Code;Actie;Actie omschrijving;Beleidsitem code;Algemene rekening;Algemene rekening omschrijving;Investeringsenveloppe;Omschrijving budgetboekjaar;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;;totaal per project;;;;;;;;
BP2014_2023-5./3.3.4.1/0310-00/2140007/BESTUUR/CBS/IE6/U;3.3.4.1;Aanleggen en verbeteren van rioleringen;0310-00;2140007;Plannen en studies - Activa in aanbouw;IE6;Heraanleg Groenstr,Herpendalstr en Dreefstraat (incl. riolering) studiekosten;;;2357.5300000000002;42354.68;49999.999999999993;77900;93000;27227.68;;;;292839.88999999996;272676.91400000005;;;;;;;
BP2014_2023-5./3.3.4.1/0310-00/2280007/BESTUUR/CBS/IE6/U;3.3.4.1;Aanleggen en verbeteren van rioleringen;0310-00;2280007;Riolering - Activa in aanbouw;IE6;riolering diverse straten en ev. heraanleg straat;;;;178864.54;89000;847644.28;2000288.57;825910;;;;3941707.39;;909938.25;;1632994.6;;157510;;668400
BP2014_2023-5./3.3.4.2/0341-00/2203000/BESTUUR/CBS/IE6/U;3.3.4.2;Aanleggen van waterbufferbekkens in het kader van erosie;0341-00;2203000;Terreinen van waterlopen - gemeenschapsgoederen;IE6;Terreinen van waterlopen - gemeenschapsgoederen;;;;;0;101000;;;;;;101000;;;;;;;;
BP2014_2023-5./3.3.4.3/0341-00/2140000/BESTUUR/CBS/IE6/U;3.3.4.3;Nemen van andere maatregelen in het kader van erosiebestrijding;0341-00;2140000;Plannen en studies;IE6;Overdracht krediet van 2017 naar 2018;;;;;0;;;;;;;0;mag dit niet weg?;;;;;;;
BP2014_2023-5./3.3.4.3/0341-00/2200100/BESTUUR/CBS/IE6/U;3.3.4.3;Nemen van andere maatregelen in het kader van erosiebestrijding;0341-00;2200100;Onbebouwde terreinen - landbouwgronden - gemeenschapsgoederen;IE6;Onbebouwde terreinen - landbouwgronden - gemeenschapsgoederen;;;;;6600;;;;;;;6600;;;;;;;;
BP2014_2023-5./3.3.4.3/0341-00/2203000/BESTUUR/CBS/IE6/U;3.3.4.3;Nemen van andere maatregelen in het kader van erosiebestrijding;0341-00;2203000;Terreinen van waterlopen - gemeenschapsgoederen;IE6;Erosiebestrijding;;;;;0;239000;;;;;;239000;;146;;;;;;
BP2014_2023-5./3.3.4.4/0319-00/2203000/BESTUUR/CBS/IE6/U;3.3.4.4;Voeren van een milieuvriendelijk waterlopenbeheer;0319-00;2203000;Terreinen van waterlopen - gemeenschapsgoederen;IE6;Terreinen van waterlopen - gemeenschapsgoederen;;;;;0;10000;;;;;;10000;;;;;;;;
BP2014_2023-5./3.3.4.5/0310-00/2280007/BESTUUR/CBS/IE6/U;3.3.4.5;Bouwen en onderhouden van installaties voor individuele afvalwaterzuivering;0310-00;2280007;Riolering - Activa in aanbouw;IE6;Aankoop IBA's;5596.16;13134.89;7835.76;8147.66;55681.69;20000;20000;20000;20000;20000;;190396.16;;;;;;;;
BP2014_2023-5./3.4.3.1/0309-00/2220007/BESTUUR/CBS/IE6/U;3.4.3.1;Optimaliseren van het gemeentelijk containerpark en de groencompostering in eigen beheer;0309-00;2220007;Bebouwde terreinen - gemeenschapsgoederen - Activa in aanbouw;IE6;Overdracht krediet van 2016 naar 2017;;;23443.75;;0;3500;;;;;;26943.75;;;;;;;;
BP2014_2023-5./3.4.3.1/0309-00/2300000/BESTUUR/CBS/IE6/U;3.4.3.1;Optimaliseren van het gemeentelijk containerpark en de groencompostering in eigen beheer;0309-00;2300000;Installaties, machines en uitrusting - gemeenschapsgoederen;IE6;elektrische tanspallet voor op CP;;;;;2776.95;;;;;;;2776.95;;;;;;;;
